Date,Open,Close,High,Low,Volume
2018/9/21,3320.6958,3410.4856,3410.4856,3307.767,10841600500
2018/9/25,3375.9717,3379.8043,3394.3771,3367.0253,6905469300
2018/9/26,3388.5576,3417.2413,3448.2595,3383.2352,9317334300
2018/9/27,3415.9532,3403.5902,3423.71,3394.732,6976524100
2018/9/28,3409.9598,3438.8649,3444.9884,3404.6973,8437775600
2018/10/8,3361.5594,3290.8988,3364.4641,3285.253,9788898900
2018/10/9,3290.1705,3288.6906,3309.7978,3276.1322,6672327400
2018/10/10,3295.4288,3281.5978,3315.731,3256.5815,6449282800
2018/10/11,3179.5408,3124.1139,3209.5202,3099.0402,12094134200
2018/10/12,3123.3715,3170.7262,3184.122,3094.9657,9861115100
2018/10/15,3173.8467,3126.4516,3183.1297,3120.2306,6960502300
2018/10/16,3128.5764,3100.9738,3166.0918,3089.3668,6888772100
2018/10/17,3140.6838,3118.2463,3149.1344,3062.554,7683713800
2018/10/18,3097.7903,3044.3918,3097.7903,3043.3817,7377196800
2018/10/19,3017.7488,3134.9455,3137.7475,3009.4983,9883968800
2018/10/22,3159.5614,3270.2732,3297.3803,3159.5614,14586204500
2018/10/23,3273.1271,3183.4257,3276.0205,3163.5704,12101324100
2018/10/24,3169.4571,3188.2018,3245.3971,3164.293,11090974400
2018/10/25,3107.8402,3194.3084,3197.3212,3099.8887,10695181700
2018/10/26,3204.2845,3173.635,3218.1021,3151.9244,10129935400
2018/10/29,3157.4879,3076.8889,3158.8114,3062.5803,9183978900
2018/10/30,3061.93,3110.2605,3146.6276,3050.7709,11607010100
2018/10/31,3116.6582,3153.8234,3168.9187,3106.0279,11120745500
2018/11/1,3185.202,3177.0338,3217.8034,3173.0992,13265337900
2018/11/2,3258.6093,3290.2455,3290.2455,3222.4354,15346610400
2018/11/5,3269.4695,3262.8351,3279.8781,3230.3632,10970668300
2018/11/6,3254.9778,3243.1504,3254.9778,3213.895,8386913800
2018/11/7,3243.8775,3221.9101,3270.5003,3218.4219,9161552800
2018/11/8,3251.7281,3212.7737,3253.5735,3207.7084,7641454000
2018/11/9,3193.3039,3167.4442,3193.3039,3166.3106,8428276200
2018/11/12,3160.2465,3205.1407,3206.5127,3152.4399,8806239100
2018/11/13,3164.9222,3237.3823,3254.7684,3161.0979,12649346400
2018/11/14,3233.6409,3204.9427,3239.2448,3200.2285,11380865900
2018/11/15,3201.2814,3242.3715,3242.3836,3198.7814,9855881000
2018/11/16,3242.879,3257.6735,3282.39,3223.7215,12687683500
2018/11/19,3258.7919,3294.6031,3294.6031,3251.0665,11595659500
2018/11/20,3268.0768,3218.4076,3278.7845,3213.6833,10936115400
2018/11/21,3187.1025,3226.4918,3230.2578,3185.2393,8411972600
2018/11/22,3232.9731,3214.4273,3235.4524,3199.6981,6509829100
2018/11/23,3208.593,3143.4752,3212.1952,3139.3857,8463825500
2018/11/26,3148.6721,3141.2434,3169.4418,3131.636,5937914000
2018/11/27,3152.7743,3137.2413,3162.0121,3126.289,5540783200
